업체명,모델명,연료,도심주행연비,고속도로연비
현대,"스타리아(US4) 하이브리드 1.6T-GDI 9인 18"" (C)",휘발유,13.1,11.6
현대,"스타리아(US4)라운지 하이브리드1.6T-GDI 7인 18""(C)",휘발유,13.1,11.6
현대,"스타리아(US4) 하이브리드 1.6T-GDI 11인 18""",휘발유,13.1,12
현대,"스타리아(US4) 밴 하이브리드 1.6T-GDI 5인 17""",휘발유,13.9,12
현대,"스타리아(US4)라운지 하이브리드1.6T-GDI 9인 18""(nC)",휘발유,13.5,11.6
현대,"스타리아(US4)라운지 하이브리드1.6T-GDI 9인 18""(C)",휘발유,13.1,11.6
르노코리아자동차(주),ARKANA 하이브리드 17인치,휘발유,17.5,17.3
르노코리아자동차(주),ARKANA 하이브리드 18인치,휘발유,17.4,16.6
포르쉐,카이엔 E-하이브리드,전기+휘발유,11.3,12.3
기아,카니발(KA4 PE) HEV 1.6T-GDI 하이리무진 7인 19“,휘발유,13.8,12.1
아우디,Q7 55 TFSI quattro,휘발유,7.2,9.4
기아," 카니발(KA4 PE) HEV 1.6T-GDI 하이리무진 9인 18/19""",휘발유,13.8,12.1
기아,봉고 1톤 일반덤프 4X4장축 킹캡 MT,LPG,5.9,6.2
기아,"카니발(KA4 PE) HEV 1.6T-GDI 하이리무진 4인 19""",휘발유,12.9,11.9
현대,포터 2.5T-LPDi 덤프 장축 슈퍼캡 MT,LPG,6,6.1
기아,봉고 1톤 3방덤프 4X4장축 킹캡 MT,LPG,5.9,6.2
샹하이완샹오토모바일,썬라이즈-T01,전기,4.1,3.3
폭스바겐,ID.5 Pro,전기,5.3,4.6
랜드로버,디펜더 90 P400,휘발유,6.7,7.9
크라이슬러,짚 글래디에이터,휘발유,6,7.1
랜드로버,레인지로버 벨라 P250,휘발유,8,10.2
랜드로버,디펜더 130 P400,휘발유,6.6,8.2
랜드로버,더 뉴 레인지로버 P615 SV,휘발유,6.7,9.6
아우디,Q7 45 TDI quattro,경유,9.5,12.6
벤츠,Mercedes-AMG GLC 43 4MATIC,휘발유,7.4,10.5
폭스바겐,ID.4 Pro,전기,5.2,4.5
랜드로버,더 뉴 레인지로버 P530 SWB,휘발유,6.7,9.6
랜드로버,더 뉴 레인지로버 P530 LWB,휘발유,6.7,9.6
랜드로버,더 뉴 레인지로버 P530 LWB,휘발유,6.7,9.6
현대,"G80(PE) 2.5T-GDI RWD 20""(올시즌)",휘발유,8.6,12.5
현대,"G80(PE) 2.5T-GDI RWD 20""(썸머)",휘발유,8.4,12.5
현대,"G80(PE) 2.5T-GDI RWD 19""",휘발유,8.8,13.2
